LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;10;Pré-Validação de Cadastros - ITEM;Sucesso;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;20;Pré-Validação de Cadastros - CLIFOR;Sucesso;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;30;Criar requisição de compras vinculada a projetos.;Sucesso;;Registrar a necessidade de compra com todas as informações obrigatórias preenchidas corretamente;Aquisição> Requisição de Compra > Informar linhas da requisição > Informar Projeto e Tarefa> Adicionar ao Carrinho;Compras;Fusion: SSP;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;40;Submeter Requisição  com Projeto;Sucesso;;Encaminhar a requisição para o fluxo de aprovação conforme regras definidas.;Aquisição> Requisição de Compra >  Editar Requisição > Submeter;Compras;Fusion: SSP;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;50;"Aprovar requisição com Projeto
";Sucesso;;Validar a necessidade da compra, aprovando requisição.;Notificações (sininho)> Aprovar Requisição de Compra;Compras;Fusion: SSP;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;60;Executar rotina para atualizar dados de custos do projeto (Etapa requisição);Sucesso;;"Dados dos compromissos do Projeto Atualizados.
Requisição de Compras listada nos compromissos do projeto.
Reservado Saldo do Orçamento.";"No Oracle Fusion PPM executar rotina de atualização de desempenho.
Verificar vinculo da requisição ao projeto.
Verificar consumo do orçamento conforme valor da requisição de compras.";Controladoria;Fusion: Projects;Camila Lorena Maciel;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;70;Processar Requisição / Criar Ordem de Compra;Sucesso;;Converter a requisição aprovada em Ordem de Compra com fornecedor, valores, condições e dados corretos.;Aquisição > Ordem de Compra > Tarefas > Processar Requisições;Compras;Fusion: PO;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;80;Submeter Ordem de Compra;Sucesso;;Encaminhar a Ordem de Compra para aprovação final conforme alçadas definidas.;Aquisição > Ordem de Compra >  Tarefas > Gerenciar Ordens > Ações  > Editar > Preencher flexfield Importação > Submeter;Compras;Fusion: PO;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;90;Aprovar Ordem de Compra;Sucesso;;Aprovar a emissão da Ordem de Compra para envio ao fornecedor.;Notificações (sininho)> Aprovar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1292.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1292.V1"").click()";GRF.01.1073 - IMPORTAÇÃO - COMPRA DE ATIVO IMOBILIZADO/CT-E;1;editar_indice_5;100;Automação para informar uso pretendido;Sucesso;;Change ordem criada com campo uso pretendido preenchido.;API gera change order fazendo o preenchimento do campo uso pretendido;Compras;Fusion: PO;Franciele Almeida;;
