LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;10;Acessar modulo de Despesas;Sucesso;;Modulo acessado;Navegador> Eu> Despesas;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;20;Realizar tour do Produto de Despesas;Sucesso;;Video normativo demonstrado;Assistir video> Clicar em Ir para Viagens e Despesas;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;30;Criar Adiantamento em Dinheiro;Sucesso;;Tarefa acessada;Clicar em Adiantamentos em Dinheiro> Clicar em Solicitar Adiantamento em Dinheiro;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;40;Preencher informacoes da solicitacao de Adiantamento com Projeto;Sucesso;;Dados obrigatorios informados;Preencher os campos Valor de Adiantamento Finalidade Tipo de Adiantamento  Data de Inicio da Viagem Data de Final da Viagem Incluir Anexo;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;50;Enviar Solicitacao de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas submetido;Clicar em Enviar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;60;Aprovar Solicitacao de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas aprovado;Realizar aprovacao da solicitacao de Adiantamento com usuario aprovador;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;70;Recusar Solicitação de Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesas cancelado;Realizar aprovacao da solicitacao de Adiantamento com usuario aprovador;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;80;Acessar Tela de Auditoria;Sucesso;;Tarefa acessada;Navegador> Auditoria> Em Tarefas clicar em Gerenciar Adiantamentos em Dinheiro com usuario Auditor;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;90;Pesquisar Adiantamentos pendentes de Auditoria;Sucesso;;Relatorio de despesa encontrado;Pesquisar Adiantamentos com status Aprovacao Pendente do Auditor e clicar no número do Adiantamento para edita-lo;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.011.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.011.V4"").click()";DES.03 - CRIAR ADIANTAMENTO DE DESPESAS COM PROJETO;1;editar_indice_4;100;Auditar Adiantamento em Dinheiro;Sucesso;;Adiantamento de despesa auditado;Realizar Auditoria do Adiantamento em Dinheiro> Informar data de vencimento> Clicar em Aprovar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
