LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;10;10 - Pré-Validação de Cadastros - ITEM;Sucesso;;Confirmar cadastro do Item cadastrado no Oracle com as variações do Negócio.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;20;20 - Pré-Validação de Cadastros - CLIFOR;Sucesso;;Confirmar cadastros do Fornecedores/Clientes cadastrado nos Oracle com as variações do Negócio.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;30;30 - Criar requisição de compras vinculada a projetos.;Sucesso;;Requesição de compras com projetos criada e combinação contabil gerada conforme tipo de projeto.;"Criar requisição de compras vinculada a projetos contendo informações de Projeto, Tarefa, Tipo de Dispendio e Organização de Dispendio.

Validar geração de combinação contabil conforme tipo de projeto (cada tipo de projeto possuirá uma conta de imobilizado especifica).";Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;40;"40 - Aprovar requisição com Projeto
";Sucesso;;"validações pre aprovação validadas com sucesso.

Gestor do projeto acionado como aprovador.

Fluxo de aprovação gerado e aprovado com sucesso.";"Enviar requisição de compras para aprovação.
Fluxo de aprovação deve verificar se o solicitante é membro Requisitante do Projeto.
Fluxo de aprovação deve verificar se a organização da requisição é igual a organização do projeto.
Se as validações falharem, o fluxo de aprovação deve ser rejeitado.
Se as validações obtiveram exito, acionar gestor do projeto como primeiro aprovar e seguir com a alçada de aprovação definida.";Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;50;50 - Executar rotina para atualizar dados de custos do projeto (Etapa requisição);Não Executado;;"Dados dos compromissos do Projeto Atualizados.
Requisição de Compras listada nos compromissos do projeto.
Reservado Saldo do Orçamento.";"No Oracle Fusion PPM executar rotina de atualização de desempenho.
Verificar vinculo da requisição ao projeto.
Verificar consumo do orçamento conforme valor da requisição de compras.";Controladoria;Fusion: Projects;Camila Lorena Maciel;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;60;60 - Criação de Ordem de Compras com Projeto + Frete FOB + Transportador Definido;Sucesso;;Ordem de Compra Criada Vinculada a Projeto;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Criar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;70;70 - Editar Ordem de Compra;Sucesso;;Ordem de Compra Editada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Editar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;80;80 - Submeter Ordem de Compra;Sucesso;;Ordem de Compra Submetida;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Submeter Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;90;90 - Aprovar Ordem de Compra;Sucesso;;Ordem de Compra Aprovada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Aprovar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUSVAL.PTM.1271.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUSVAL.PTM.1271.V1"").click()";GRF.01.32002 - - COMPRA DE BEM PARA O ATIVO IMOBILIZADO - COM ST;1;tr_child_23;100;"100 - Executar rotina para atualizar dados de custos do projeto (Etapa Ordem de Compras)
";Não Executado;;"Dados dos compromissos do Projeto Atualizados.
Requisição de Compras deixa de ser listada nos comprimissos.
Ordem de Compras é listada nos compromissos.
Reservado Saldo do Orçamento.";"No Oracle Fusion PPM executar rotina de atualização de desempenho.
Verificar vinculo da ordem de compras ao projeto.
Verificar consumo do orçamento conforme valor da requisição de compras.";Controladoria;Fusion: Projects;Camila Lorena Maciel;;
