LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;10;10 - Pré-Validação de Cadastros - ITEM;Não Executado;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;20;20 - Pré-Validação de Cadastros - CLIFOR;Não Executado;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;30;100 - OTM - Recebe pedido de compras;Não Executado;;Pedido de Compras disponivel para o OTM;OTM Recebe Pedido de Compras através de Integração com Oracle Cloud;Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;40;110 - OTM - Criar Planejamento de Carga;Não Executado;;"Executar rotina de planejamento massivo de carga
";"Gerenciamento de Ordens > Ordens > Liberação de Ordem >  Seleciona Ordem > Ações  > Planejamento Operacional > Criar Remessa de Compra > Planejamento Massivo Visão Custos
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;50;120 - OTM - Assegurar Recurso;Não Executado;;Recurso Asseguarado e Oferta Aceita;"1. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Proteger Recursos 
2. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Aceitar Oferta
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;60;130 - OTM - Transportador Emite CTE;Não Executado;;CTE Emitido pelo Transportador;"1. Recebe Nota Fiscal de Mercadoria do Fornecedor
2. Transportador Emite CTE, informando o número dad NFs a serem Transportadas";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;70;140 - OTM - Evento Inicio de Viagem;Não Executado;;Viagem em Rota;"Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Eventos > Adicionar Eventos para o Local > Evento Rápido > Selecionar > Inicio de Viagem > Selecionar o Local da Coleta > Informar Data e Hora do Evento > Clicar em ""Salvar""";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;80;150-1 - Upload do XML para ferramenta TaxfyLink;Sucesso;;Arquivo Carregado;Capturar os documentos que tem a origem na SEFAZ onde o TAXFYLINK realizará a busca do lote (NSU) de documentos e eventos disponíveis na base da SEFAZ para download. Para nota fiscal de mercadoria, a ferramenta processa apenas os XMLs dos modelos 55 das notas fiscais, que ao entrarem na ferramenta será estruturado e direcionados para o TAXFY;Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;90;150-4 - Retorno Validação Tributária;Sucesso;;Validação tributária do documento Fiscal Concluida;"o TAXFY irá consultar o retorno da validação tributária realizada no TAXFYLINK.
STATUS:
“ Sucesso” quando não houver problema na verificação
“Alerta” quando existir algum item onde poderia ser processado com alguma tributação diferente, de acordo com CFOP do produto
“ Erro” onde status do documento ficará com inconsistência no menu do monitor de documento, aguardando ação do analista, ou de operação não realizada por conta de erros na tributação.";Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.043.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.043.V4"").click()";GRF.01.0098 - ENTRADA DE BEM POR CONTA DE CONTRATO DE COMODATO;1;editar_indice_0;100;150-5 - Carregar XML para o UCM;Sucesso;;Validação concluida e Arquivo XML Carregado no Oracle.;Após Validação, TAXFY realizará o envio dos XMLs para o OIC, para que seja disponibilizado no Oracle Fusion;Fiscal;KT: Taxfy;Renato Mezzalira;;
