LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;10;10 - Pré-Validação de Cadastros - ITEM;Sucesso;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;20;20 - Pré-Validação de Cadastros - CLIFOR;Sucesso;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;30;30 - Adicionar Linhas de catalogos locais;Sucesso;;A requisição é salva com sucesso com todas as linhas informadas corretamente e sem erro de validação.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho ;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;40;40 - Submeter requisição ;Sucesso;;A requisição é criada no sistema com todas as linhas importadas corretamente, mantendo os dados de origem.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;50;50 - Aprovar requisição;Sucesso;;A requisição avança para o próximo nível do fluxo ou é aprovada, ficando registrada no histórico.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição > Aprovar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;60;60 - Criar Ordem de Compra;Sucesso;;Ordem de Compra Criada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Criar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;70;70 - Editar Ordem de Compra;Sucesso;;Ordem de Compra Editada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Editar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;80;80 - Submeter Ordem de Compra;Sucesso;;Ordem de Compra Submetida;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Submeter Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;90;90 - Aprovar Ordem de Compra;Sucesso;;Ordem de Compra Aprovada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Aprovar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.012.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.012.V2"").click()";GRF.01.10009 - COMPRA DE MERCADORIA PARA USO OU CONSUMO - COM ST;1;editar_indice_0;100;150-1 - Upload do XML para ferramenta TaxfyLink;Não Executado;;Arquivo Carregado;Capturar os documentos que tem a origem na SEFAZ onde o TAXFYLINK realizará a busca do lote (NSU) de documentos e eventos disponíveis na base da SEFAZ para download. Para nota fiscal de mercadoria, a ferramenta processa apenas os XMLs dos modelos 55 das notas fiscais, que ao entrarem na ferramenta será estruturado e direcionados para o TAXFY;Fiscal;KT: Taxfy;Renato Mezzalira;;
