LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;10;10 - Pré-Validação de Cadastros - ITEM;Sucesso;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;20;20 - Pré-Validação de Cadastros - CLIFOR;Sucesso;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;30;60 - Criação da Ordem de Transferencia;Sucesso;;Requisição Interna de Transferência Aprovadas no processo de Compras;Ordem de Transferencia Interna;Gestão de Estoques;Fusion: INV;Rafael Brandão;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;40;100 - OTM - Recebe pedido de compras;Não Executado;;Pedido de Compras disponivel para o OTM;OTM Recebe Pedido de Compras através de Integração com Oracle Cloud;Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;50;110 - OTM - Criar Planejamento de Carga;Não Executado;;"Executar rotina de planejamento massivo de carga
";"Gerenciamento de Ordens > Ordens > Liberação de Ordem >  Seleciona Ordem > Ações  > Planejamento Operacional > Criar Remessa de Compra > Planejamento Massivo Visão Custos
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;60;120 - OTM - Assegurar Recurso;Não Executado;;Recurso Asseguarado e Oferta Aceita;"1. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Proteger Recursos 
2. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Aceitar Oferta
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;70;130 - OTM - Transportador Emite CTE;Não Executado;;CTE Emitido pelo Transportador;"1. Recebe Nota Fiscal de Mercadoria do Fornecedor
2. Transportador Emite CTE, informando o número dad NFs a serem Transportadas";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;80;140 - OTM - Evento Inicio de Viagem;Não Executado;;Viagem em Rota;"Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Eventos > Adicionar Eventos para o Local > Evento Rápido > Selecionar > Inicio de Viagem > Selecionar o Local da Coleta > Informar Data e Hora do Evento > Clicar em ""Salvar""";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;90;150-1 - Upload do XML para ferramenta TaxfyLink;Não Executado;;Arquivo Carregado;Capturar os documentos que tem a origem na SEFAZ onde o TAXFYLINK realizará a busca do lote (NSU) de documentos e eventos disponíveis na base da SEFAZ para download. Para nota fiscal de mercadoria, a ferramenta processa apenas os XMLs dos modelos 55 das notas fiscais, que ao entrarem na ferramenta será estruturado e direcionados para o TAXFY;Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.069.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.069.V2"").click()";GRF.01.10030 - TRANSFERÊNCIA DE MATERIAL PARA USO OU CONSUMO;1;editar_indice_1;100;150-2 - Monitor de Pedidos > Realiza Match Pedido de Compra > Integração Requisição Interna (Transferências);Não Executado;;Recebimento da Transferencia de Mercadoria;Associação da Requisição Interna com a nota Fiscal para recebimento da Transferencia de Mercadoria;Fiscal;KT: Taxfy;Renato Mezzalira;;
