LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;10;Pré-Validação de Cadastros - ITEM;Não Executado;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;20;Pré-Validação de Cadastros - CLIFOR;Não Executado;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;30;OTM - Criar Planejamento de Carga;Não Executado;;"Executar rotina de planejamento massivo de carga
";"Gerenciamento de Ordens > Ordens > Liberação de Ordem >  Seleciona Ordem > Ações  > Planejamento Operacional > Criar Remessa de Compra > Planejamento Massivo Visão Custos
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;40;OTM - Assegurar Recurso;Não Executado;;Recurso Asseguarado e Oferta Aceita;"1. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Proteger Recursos 
2. Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Oferta > Aceitar Oferta
";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;50; OTM - Transportador Emite CTE;Não Executado;;CTE Emitido pelo Transportador;"1. Recebe Nota Fiscal de Mercadoria do Fornecedor
2. Transportador Emite CTE, informando o número dad NFs a serem Transportadas";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;60;OTM - Evento Inicio de Viagem;Não Executado;;Viagem em Rota;"Gerenciamento de Remessa > Remessa de Compra > Seleciona Remessa > Ações  > Gerenciamento de Remessa > Eventos > Adicionar Eventos para o Local > Evento Rápido > Selecionar > Inicio de Viagem > Selecionar o Local da Coleta > Informar Data e Hora do Evento > Clicar em ""Salvar""";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;70; Upload do XML para ferramenta TaxfyLink;Sucesso;;Arquivo Carregado;Capturar os documentos que tem a origem na SEFAZ onde o TAXFYLINK realizará a busca do lote (NSU) de documentos e eventos disponíveis na base da SEFAZ para download. Para nota fiscal de mercadoria, a ferramenta processa apenas os XMLs dos modelos 55 das notas fiscais, que ao entrarem na ferramenta será estruturado e direcionados para o TAXFY;Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;80;Monitor de Pedidos > Realiza Match Pedido de Compra;Sucesso;;Com base no XPED, será realizado a associação do pedido para seguir para as demais validações;"Processo onde é realizado o Match do pedido de compras X a nota fiscal recebida, processo automatico.
* Se o Documento não encontrar um Pedido correspondente, o Analista pode selecionar manualmente os pedidos de compras com Saldo em Aberto.";Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;90;Validação Comercial do Documento;Sucesso;;Validação concluida e Arquivo XML Carregado no Oracle.;Confrontar os dados da NFE x Pedido de Compras, será validado o CNPJ do Emissor, CNPJ do Destinatário, Pedido de Compras, Item do Pedido, Unidade de Medida, Moeda, Quantidade e Valor. ;Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAIS_FRANGO.PTM.0556.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAIS_FRANGO.PTM.0556.V3"").click()";GRF.07.2050 - ENTRADA DE MERCADORIA REMETIDA PARA INDUST. E NÃO APLICADA NO REFERIDO PROCESSO;1;tr_child_182;100;Retorno Validação Tributária;Sucesso;;Validação tributária do documento Fiscal Concluida;"o TAXFY irá consultar o retorno da validação tributária realizada no TAXFYLINK.
STATUS:
“ Sucesso” quando não houver problema na verificação
“Alerta” quando existir algum item onde poderia ser processado com alguma tributação diferente, de acordo com CFOP do produto
“ Erro” onde status do documento ficará com inconsistência no menu do monitor de documento, aguardando ação do analista, ou de operação não realizada por conta de erros na tributação.";Fiscal;KT: Taxfy;Renato Mezzalira;;
