LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;10;Pré-Validação de Cadastros - ITEM;Não Executado;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;20;Pré-Validação de Cadastros - CLIFOR;Não Executado;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;30;Solicitar Compra;Sucesso;;Disparar Integração para ERP;Para solicitar insumos de matéria-prima para a fábrica de ração, o sistema legado Agrosys enviará uma solicitação de compra por meio de uma integração via OIC. Essa integração criará automaticamente uma requisição de compra no Oracle Cloud, a qual será submetida à aprovação conforme a hierarquia definida pelo Grupo.;Produção;Agrosys:Requisitante;Jocimar Koch;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;40;Enviar Requisição de Compra para Oracle;Sucesso;;Disparar Integração para ERP;Integrar solicitações ao ERP Oracle Fusion;Produção;Agrosys:Requisitante;Jocimar Koch;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;50;Receber Requisição de Compra;Não Executado;;Receber Integração Agrosys;Receber Solicitação de Compra via OIC;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;60;Criar requisição de Compra;Não Executado;;Analisar Solicitação de Compra;Após a aprovação, a requisição será encaminhada para a bancada do comprador, que será responsável por analisar e decidir a melhor forma de atender à solicitação.;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;70;Adicionar Linhas de catalogos locais;Não Executado;;A requisição é salva com sucesso com todas as linhas informadas corretamente e sem erro de validação.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho ;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;80;Submeter requisição ;Não Executado;;A requisição é criada no sistema com todas as linhas importadas corretamente, mantendo os dados de origem.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;90;Aprovar requisição;Não Executado;;A requisição avança para o próximo nível do fluxo ou é aprovada, ficando registrada no histórico.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição > Aprovar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;BELLO.PTM.1544.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.PTM.1544.V3"").click()";GRF.07.31120 - COMMODITIES - COMPRA DE MILHO A FIXAR - NF COMPLEMENTO DE PREÇO;1;tr_child_222;100;Criar Ordem de Compra;Não Executado;;Ordem de Compra Criada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Criar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
