LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;10;10 - Pré-Validação de Cadastros - ITEM;Sucesso;;Confirmar Item cadastrado no Oracle.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;20;20 - Pré-Validação de Cadastros - CLIFOR;Sucesso;;Confirmar os Fornecedores/Clientes cadastrados nos Oracle.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;30;30 - Adicionar Linhas de catalogos locais;Sucesso;;A requisição é salva com sucesso com todas as linhas informadas corretamente e sem erro de validação.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho ;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;40;40 - Submeter requisição ;Sucesso;;A requisição é criada no sistema com todas as linhas importadas corretamente, mantendo os dados de origem.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;50;50 - Aprovar requisição;Sucesso;;A requisição avança para o próximo nível do fluxo ou é aprovada, ficando registrada no histórico.;Requisição de Compra > Adicionar Item do Catalago > Adicionar ao Carrinho > Editar Requisição > Aprovar Requisição;Compras;Fusion: SSP;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;60;60 - Criar Ordem de Compra;Sucesso;;Ordem de Compra Criada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Criar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;70;70 - Editar Ordem de Compra;Sucesso;;Ordem de Compra Editada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Editar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;80;80 - Submeter Ordem de Compra;Sucesso;;Ordem de Compra Submetida;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Submeter Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;90;90 - Aprovar Ordem de Compra;Sucesso;;Ordem de Compra Aprovada;Aquisicao > Negociacoes >  Tarefas > Gerenciar Ordens  de Compra > Acoes  > Aprovar Ordem de Compra;Compras;Fusion: PO;Franciele Almeida;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2348.V1;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2348.V1"").click()";GRF.04.0064 - SERVIÇOS C/ INTERNET- NOTA COMUNICAÇÃO;1;tr_child_82;100;100 - Upload do XML/Documento Fiscal de Serviço para ferramenta TaxfyLink;Não Executado;;Arquivo Carregado;"Capturar os documentos que tem a origem nas Prefeituras onde o TAXFYLINK realizará a busca do lote (NSU) de documentos e eventos disponíveis na base das Prefeituras para download. Para nota fiscal de serviços, a ferramenta processara as notas fiscais de serviços, que ao entrarem na ferramenta será estruturado e direcionados para o TAXFY.
* A Origem de documentos em PDF (recibos, outros documentos) deverão estar salvos em um diretorio especifico e definido pela KTGroup e Grupo Pluma";Fiscal;KT: Taxfy;Deise Cristiane da Rosa;;
