LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;10;10 - INV: Pré-Validação de Cadastros - ITEM;Bloqueado;;Confirmar cadastro do Item cadastrado no Oracle com as variações do Negócio.;Pré-Validação de Cadastros de ITENS;Cadastros;Fusion: INV;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;20;20 - PO: Pré-Validação de Cadastros - CLIFOR;Bloqueado;;Confirmar cadastros do Fornecedores/Clientes cadastrado nos Oracle com as variações do Negócio.;Pré-Validação de Cadastros de CLIFOR;Cadastros;Fusion: PO;Leonardo Gomes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;30;30 - FDC: Verificar Nota Fiscal de Mercadoria Recebida;Não Executado;;Confirmação da Nota Fiscal Capturada no FDC;Execução da Cadeia de Suprimentos > Captura do Documento Fiscal> Tarefas > Gerenciar Documentos Fiscais de Entrada > Pesquisar > Selecionar Documento;Fiscal;Fusion: FDC;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;40;40 - Transportador Emite CTE;Não Executado;;CTE Emitido pelo Transportador;"1. Recebe Nota Fiscal de Mercadoria do Fornecedor
2. Transportador Emite CTE, informando o número dad NFs a serem Transportadas";Logistica e Transporte;OTM:Transportation;Willian Alves;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;50;"50 - TAXFY: Tratamento e Validação Comercial do Documento e Carregar XML para o UCM
";Não Executado;;Arquivo de Nota Fiscal Validado e Disponivel para o OIC;O processo de captura na SEFAZ e carga do XML no ERP - Parceiro Fiscal Taxfy;Fiscal;KT: Taxfy;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;60;"60 - FDC: Executar Processo de Importação do XML para Interface
";Não Executado;;Arquivos do XML da NF + CTE processados para interface com sucesso;Ferramentas> Processos Programados > Programar novo processo > Importar Documentos Eletrônicos do Brasil;Fiscal;Fusion: FDC;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;70;70 - FDC: Executar Processo de Importacao do XML para tabelas definitivas do FDC;Não Executado;;Documento importado com sucesso;Ferramentas > Processos Programados> Importação e Validação de Documentos Fiscais Eletrônicos;Fiscal;Fusion: FDC;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;80;80 - FDC: Gerenciar Documento na Interface do FDC;Não Executado;;Documento ajustado para reprocessamento;"Execução da Cadeia de Suprimentos > Captura do Documento Fiscal> Tarefas > Gerenciar Exceções da Interface > Selecionar Documento> Detalhes do Cabeçalho do Documento Fiscal > Revisar os dados do cabeçalho
Linhas do Documento Fiscal > Revisar dados das linhas
         Tipo de Documento 
         Tipo de Linha 
         UN do Documento de Origem
         Item
         Descrição
         UDM
         Quantidade
         Valor
         Numero
         Linha
         Salvar e Fechar > Concluído
Status do documento devera ser alterado para Modificado""";Fiscal;Fusion: FDC;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;90;90 - FDC: Executar Job de Importacao do XML para tabelas definitivas do FDC;Não Executado;;Documento importado com sucesso;Ferramentas > Processos Programados> Importação e Validação de Documentos Fiscais Eletrônicos;Fiscal;Fusion: FDC;Renato Mezzalira;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;MAR_E_TERRA.PTM.053.V2;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""MAR_E_TERRA.PTM.053.V2"").click()";MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;1;tr_child_9;100;100 - FDC: Acessar Modulo do FDC;Não Executado;;Modulo acessado;Execução da Cadeia de Suprimentos > Captura do Documento Fiscal >  Tarefas > Gerenciar Documentos Fiscais de Entrada;Fiscal;Fusion: FDC;Renato Mezzalira;;
